Month,Year,Vehicles,Km_Driven_millions,Average_km
January,2014,2512669,3204,1191
February,2014,2517952,3089,1160
March,2014,2520422,3609,1366
April,2014,2523052,3525,1341
May,2014,2519187,3698,1413
June,2014,2512331,3554,1361
July,2014,2516329,3740,1430
August,2014,2522777,3761,1433
September,2014,2526290,3667,1390
October,2014,2528251,3685,1389
November,2014,2528967,3486,1305
December,2014,2528957,3430,1274
January,2015,2548219,3374,1232
February,2015,2559204,3364,1240
March,2015,2566198,3867,1435
April,2015,2571654,3801,1418
May,2015,2571975,3941,1475
June,2015,2567296,3891,1459
July,2015,2573964,4112,1538
August,2015,2583014,4103,1528
September,2015,2586713,3964,1470
October,2015,2587492,3998,1474
November,2015,2587019,3808,1395
December,2015,2584774,3728,1356
January,2016,2604051,3581,1272
February,2016,2619163,3648,1309
March,2016,2628789,4071,1472
April,2016,2632269,4003,1455
May,2016,2632124,4209,1536
June,2016,2625975,4030,1474
July,2016,2631387,4236,1545
August,2016,2639153,4335,1575
September,2016,2640971,4167,1507
October,2016,2640695,4205,1512
November,2016,2640181,4107,1466
December,2016,2638342,3927,1390
January,2017,2659644,3639,1268
February,2017,2674528,3565,1255
March,2017,2681851,4189,1485
April,2017,2687300,4001,1425
May,2017,2686179,4265,1525
June,2017,2679997,4150,1487
July,2017,2685593,4299,1536
August,2017,2692691,4401,1566
September,2017,2693901,4189,1484
October,2017,2693798,4123,1452
November,2017,2691905,4107,1436
December,2017,2689362,3826,1327
January,2018,2709094,3619,1240
February,2018,2722678,3466,1200
March,2018,2726732,3696,1289
April,2018,2730663,3943,1383
May,2018,2730669,4269,1502
June,2018,2724633,4102,1446
July,2018,2729520,4259,1499
August,2018,2736592,4284,1501
September,2018,2737147,4034,1407
October,2018,2735993,4164,1445
November,2018,2733610,3994,1376
December,2018,2730665,3713,1269
