Sex,Age,Type,2014,2015,2016,2017,2018
Male,0 - 5 years,Fatalities,2,1,1,0,0
Male,0 - 5 years,Serious,118,105,97,89,76
Male,6 - 9 years,Fatalities,3,0,0,3,0
Male,6 - 9 years,Serious,123,95,84,90,92
Male,10 - 14 years,Fatalities,2,1,7,0,2
Male,10 - 14 years,Serious,195,163,152,164,157
Male,15 - 17 years,Fatalities,5,3,2,4,4
Male,15 - 17 years,Serious,173,174,138,159,169
Male,18 - 20 years,Fatalities,10,12,14,9,7
Male,18 - 20 years,Serious,338,361,283,333,288
Male,21 - 24 years,Fatalities,13,15,13,11,13
Male,21 - 24 years,Serious,440,460,430,425,378
Male,25 - 34 years,Fatalities,29,24,25,28,16
Male,25 - 34 years,Serious,990,924,931,951,963
Male,35 - 44 years,Fatalities,21,14,24,19,14
Male,35 - 44 years,Serious,846,791,878,861,887
Male,45 - 54 years,Fatalities,13,9,14,17,18
Male,45 - 54 years,Serious,553,545,598,632,680
Male,55 - 64 years,Fatalities,7,19,10,9,16
Male,55 - 64 years,Serious,321,400,375,369,471
Male,65 years and over,Fatalities,27,24,28,16,19
Male,65 years and over,Serious,415,357,378,403,420
Female,0 - 5 years,Fatalities,2,1,1,1,1
Female,0 - 5 years,Serious,82,77,77,72,57
Female,6 - 9 years,Fatalities,1,0,0,0,0
Female,6 - 9 years,Serious,71,74,74,99,78
Female,10 - 14 years,Fatalities,2,0,0,0,0
Female,10 - 14 years,Serious,127,126,94,122,122
Female,15 - 17 years,Fatalities,1,0,1,0,1
Female,15 - 17 years,Serious,138,127,114,89,119
Female,18 - 20 years,Fatalities,2,7,4,2,2
Female,18 - 20 years,Serious,242,217,199,173,176
Female,21 - 24 years,Fatalities,3,3,1,0,0
Female,21 - 24 years,Serious,302,337,307,270,288
Female,25 - 34 years,Fatalities,4,8,11,5,2
Female,25 - 34 years,Serious,719,705,685,697,694
Female,35 - 44 years,Fatalities,10,5,7,5,2
Female,35 - 44 years,Serious,617,547,631,610,609
Female,45 - 54 years,Fatalities,7,3,2,5,3
Female,45 - 54 years,Serious,432,402,437,478,479
Female,55 - 64 years,Fatalities,9,5,4,4,9
Female,55 - 64 years,Serious,299,328,295,329,339
Female,65 years and over,Fatalities,17,8,17,18,10
Female,65 years and over,Serious,360,355,325,344,424
