Hour,Type,2014,2015,2016,2017,2018
0,Fatalities,3,6,4,7,6
0,Serious,161,178,167,131,166
1,Fatalities,10,5,11,7,7
1,Serious,151,139,135,116,115
2,Fatalities,6,10,6,4,1
2,Serious,133,150,113,141,138
3,Fatalities,5,6,3,6,5
3,Serious,126,122,116,112,106
4,Fatalities,9,3,7,6,7
4,Serious,93,94,77,73,57
5,Fatalities,2,4,4,2,3
5,Serious,77,76,65,54,61
6,Fatalities,5,5,4,3,2
6,Serious,97,114,108,130,107
7,Fatalities,9,4,6,8,2
7,Serious,171,217,262,250,283
8,Fatalities,8,3,6,4,6
8,Serious,403,362,420,411,461
9,Fatalities,10,5,5,7,6
9,Serious,396,392,405,346,402
10,Fatalities,5,4,12,5,2
10,Serious,344,291,287,368,335
11,Fatalities,9,16,6,8,4
11,Serious,371,371,308,363,353
12,Fatalities,9,7,7,13,6
12,Serious,400,439,460,379,484
13,Fatalities,8,6,9,6,7
13,Serious,459,478,495,476,465
14,Fatalities,10,11,4,12,9
14,Serious,508,515,442,478,535
15,Fatalities,9,5,11,7,6
15,Serious,589,542,458,566,608
16,Fatalities,9,9,20,8,7
16,Serious,582,538,603,576,601
17,Fatalities,13,10,8,6,8
17,Serious,691,649,635,725,653
18,Fatalities,16,5,8,11,9
18,Serious,582,604,580,597,577
19,Fatalities,8,7,10,7,7
19,Serious,499,475,460,503,461
20,Fatalities,12,3,8,7,4
20,Serious,468,361,361,372,405
21,Fatalities,8,15,8,3,10
21,Serious,319,264,293,234,269
22,Fatalities,5,9,9,4,3
22,Serious,251,239,269,210,190
23,Fatalities,4,4,10,5,12
23,Serious,208,230,191,167,179
